,anger,sadness,surprise,fear,happiness,disgust
anger,43,0,1,0,4,9
sadness,1,2,2,0,1,0
surprise,1,0,9,0,5,0
fear,0,0,3,3,2,0
happiness,5,0,2,2,16,1
disgust,0,0,1,1,4,3
