,anger,sadness,surprise,fear,happiness,disgust
anger,7,2,1,0,3,3
sadness,3,8,7,0,4,2
surprise,3,0,137,8,1,5
fear,0,0,7,4,6,8
happiness,1,3,5,2,38,6
disgust,6,1,8,7,9,92
