,anger,sadness,surprise,fear,happiness,disgust
anger,47,1,5,0,7,13
sadness,2,14,12,0,4,2
surprise,6,2,173,5,8,3
fear,0,0,9,9,9,8
happiness,7,3,10,5,82,6
disgust,17,2,12,8,12,143
